user_genome	classification
S_ERR13594538_bin.5	Bacteria;Bacillota;Negativicutes;Veillonellales;Dialisteraceae;Dialister;Dialister sp000434475
S_ERR13594539_bin.3	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium taiwanense
S_ERR13594539_bin.5	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter kobei
S_ERR13594540_bin.3	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis
S_ERR13594541_bin.1	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
S_ERR13594541_bin.2	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium butyricigenerans
S_ERR13594541_bin.3	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis
S_ERR13594543_bin.1	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium longum
S_ERR13594543_bin.2	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcus_B;Ruminococcus_B gnavus
S_ERR13594544_bin.2	Bacteria;Bacillota;Clostridia;Christensenellales;CAG-138;PeH17;PeH17 sp000435055
S_ERR13594544_bin.6	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas sp003539495
S_ERR13594544_bin.7	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Hominimerdicola;Hominimerdicola aceti
